component,subcomponent,owner,data_class,description,control_scope,criticality,internet_facing,compensating_controls
web,dashboard,frontend-team,PII,"Vue.js 3.3.4 analytics dashboard charts graphs real-time metrics","SOC2,GDPR,ISO27001",critical,true,"WAF,CDN,rate-limiting,session-timeout"
web,admin-portal,admin-team,PII,"Admin console tenant management user provisioning billing","SOC2,ISO27001",critical,true,"VPN-only,MFA,IP-allowlist,audit-logging"
api,gateway,platform-team,NONE,"FastAPI 0.104.1 API gateway auth routing rate-limiting","SOC2,ISO27001",critical,true,"DDoS-protection,rate-limiting,JWT-validation,circuit-breaker"
api,analytics-service,analytics-team,PII,"FastAPI data processing aggregation metrics calculation","SOC2,GDPR,ISO27001",critical,false,"data-minimization,anonymization,tenant-isolation"
api,query-service,query-team,PII,"FastAPI query engine SQL generation result caching","SOC2,GDPR,ISO27001",high,false,"query-sanitization,tenant-isolation,row-level-security"
api,export-service,export-team,PII,"FastAPI data export CSV JSON PDF generation","SOC2,GDPR,ISO27001",high,false,"rate-limiting,data-masking,audit-logging,tenant-isolation"
api,auth-service,identity-team,PII,"FastAPI authentication SSO SAML OAuth2 OIDC","SOC2,GDPR,ISO27001",critical,true,"MFA,password-policy,session-management,brute-force-protection"
api,tenant-service,tenant-team,PII,"FastAPI multi-tenant provisioning isolation management","SOC2,GDPR,ISO27001",critical,false,"tenant-isolation,data-segregation,namespace-isolation"
api,notification-service,ops-team,PII,"FastAPI email Slack webhooks alerts","SOC2,GDPR",medium,true,"opt-in,unsubscribe,rate-limiting"
api,integration-service,integration-team,PII,"FastAPI third-party integrations Salesforce Zapier webhooks","SOC2,GDPR",high,true,"webhook-signature-validation,OAuth2,rate-limiting"
streaming,flink-cluster,streaming-team,PII,"Apache Flink 1.18.0 real-time stream processing aggregations","SOC2,GDPR,ISO27001",critical,false,"encryption-in-transit,checkpointing,state-backend-encryption"
streaming,websocket-server,streaming-team,PII,"WebSocket server real-time dashboard updates","SOC2,GDPR",high,true,"TLS,auth-token-validation,rate-limiting"
db,timeseries-db,data-team,PII,"TimescaleDB 2.13.0 time-series metrics events","SOC2,GDPR,ISO27001",critical,false,"encryption-at-rest,backup-encryption,row-level-security,tenant-isolation"
db,metadata-db,data-team,PII,"PostgreSQL 15.4 tenant metadata user accounts configurations","SOC2,GDPR,ISO27001",critical,false,"encryption-at-rest,backup-encryption,multi-AZ,audit-logging"
cache,redis-cluster,platform-team,PII,"Redis 7.2.3 query cache session cache","SOC2,GDPR",high,false,"encryption-in-transit,encryption-at-rest,password-auth,cluster-mode"
storage,object-storage,storage-team,PII,"MinIO 2023.11.20 exported reports uploaded files","SOC2,GDPR,ISO27001",high,false,"encryption-at-rest,versioning,access-logging,retention-policy,tenant-isolation"
storage,backup-storage,storage-team,PII,"AWS S3 database backups disaster recovery","SOC2,GDPR,ISO27001",critical,false,"encryption-at-rest,versioning,access-logging,cross-region-replication,MFA-delete"
infra,alb,platform-team,NONE,"AWS Application Load Balancer SSL termination","SOC2,ISO27001",critical,true,"TLS1.2+,WAF,DDoS-protection"
infra,k8s-cluster,platform-team,NONE,"Kubernetes 1.28 container orchestration multi-tenant","SOC2,ISO27001",critical,false,"RBAC,network-policies,pod-security-admission,secrets-encryption,namespace-isolation"
infra,prometheus,observability-team,NONE,"Prometheus 2.47.0 metrics collection monitoring","SOC2",high,false,"authentication,TLS,retention-policy"
infra,grafana,observability-team,PII,"Grafana 10.1.0 dashboards visualization alerting","SOC2,GDPR",high,false,"SSO,RBAC,audit-logging"
